Company,Type,ClaimsPhone,ClaimsEmail,MailStreetOrPO,City,State,Zip,Notes,Website
Texas FAIR Plan Association (TFPA),Residual market (TX),800-979-6440,,,,,,Homeowners for hard-to-insure; claims via online/phone.,https://www.texasfairplan.org/claims/
NCJUA/NCIUA (NC Beach & FAIR Plans),Residual market (NC),,Claims.Admin@ncjua.com,,,,,Email listed for claims admin; reporting often via agent/phone.,https://www.ncjua-nciua.org/contact/
SC Wind & Hail Underwriting Association,Residual market (SC),800-236-1873,claims@scwind.com,,,,,Wind/hail on SC coast; accepts email inquiries.,https://www.scwind.com/contact.html
Louisiana Citizens Property Ins. Corp.,State-backed (LA),888-568-6455,,"1 Galleria Blvd, Suite 720",Metairie,LA,70001,Report claims via phone/online; business & mailing address shown.,https://www.lacitizens.com/claims-center
Georgia Farm Bureau Mutual Insurance,State carrier (GA),855-432-2567,,1620 Bass Rd,Macon,GA,31210,Property claims supported 24/7; no public claims email.,https://www.gfbinsurance.com/claims/about-claims
Alfa Insurance (AL/GA/MS),Regional,800-964-2532,,,,,,Report property claims by phone/online; no public claims email.,https://www.alfainsurance.com/claims/start-your-claim
Farm Bureau Financial Services,Regional (KS/OK & plains),800-226-6383,,5400 University Ave,West Des Moines,IA,50266-5997,"Covers KS, OK, and other plains states; claims by phone/online.",https://www.fbfs.com/claims-center/property
State Farm Insurance,National carrier,800-732-5246,,One State Farm Plaza,Bloomington,IL,61710,24/7 claims hotline (800-SF-CLAIM). No public claims email; claims by phone/portal.,https://www.statefarm.com/claims
Allstate Insurance,National carrier,800-255-7828,claims@claims.allstate.com,PO Box 660636,Dallas,TX,75266,Mailing address for P&C claims. Claims email widely used.,https://www.allstate.com/claims
Farmers Insurance,National carrier,800-435-7764,myclaim@farmersinsurance.com,PO Box 268994,Oklahoma City,OK,73126,Farmers National Document Center. Email is used for claim correspondence.,https://www.farmers.com/claims/
Farm Bureau Insurance (Generic),Regional (multi-state),800-226-6383,,5400 University Ave,West Des Moines,IA,50266,Covers multiple state farm bureaus; many have their own numbers. This is FBFS corporate.,https://www.fbfs.com/claims-center/property
AssuranceAmerica Insurance,Regional carrier,888-580-8134,claims@assuranceamerica.com,20 Glenlake Parkway NE Suite 650,Atlanta,GA,30328,Regional carrier. Provides claims email and hotline.,https://www.assuranceamerica.com/claims
Auto-Owners Insurance,National carrier,888-252-4626,,6101 Anacapri Blvd,Lansing,MI,48917,24/7 claims reporting. No public email for claim submission.,https://www.auto-owners.com/claims
USAA Insurance,National carrier,800-531-8722,,9800 Fredericksburg Rd,San Antonio,TX,78288,24/7 hotline. No public claims email; adjuster provides email after claim is opened.,https://www.usaa.com/claims
AAA Insurance (CSAA/Auto Club),Regional carrier,800-922-8228,,3055 Oak Rd,Walnut Creek,CA,94597,AAA clubs differ by state. CSAA shown here. Claims by phone/portal.,https://csaa-insurance.aaa.com/claims
